Author,Title,State,District,Ban Status,Year,AI_Theme,AI_Theme_Confidence,AI_Theme_Reason
"McCafferty, Megan",Sloppy Firsts (Jessica Darling Series),Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Gabaldon, Diana",Outlander (Outlander Series),Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,medium,Romance series includes explicit sexual content.
"Kobabe, Maia",Gender Queer: A Memoir,Florida,Osceola County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Levy, Dana Alison",The Family Fletcher Takes Rock Island (Family Fletcher Series),Florida,Jackson County School District,Banned in libraries and classrooms,2021,LGBTQ+ / Gender,high,Same-sex parent family representation is central.
"Asher, Jay",Thirteen Reasons Why,Florida,Santa Rosa County District Schools,Banned pending investigation,2021,Mental Health,high,Mental health struggles are central.
"Mathieu, Jennifer",The Truth About Alice: A Novel,Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,medium,Author/work is often challenged for sexual content.
"Green, John",Looking for Alaska,Texas,Katy Independent School District,Banned in libraries,2021,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Perez, Ashley Hope",Out of Darkness,North Carolina,Moore County Schools,Banned in libraries and classrooms,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Mississippi,Madison County Schools,Banned in libraries,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Kaur, Rupi",Milk and Honey,Texas,Killeen Independent School District,Banned in libraries and classrooms,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Frank, ER",Life is Funny,North Carolina,Moore County Schools,Banned in libraries and classrooms,2021,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Kaur, Rupi",Milk and Honey,Texas,Frisco Independent School District,Banned in libraries and classrooms,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Morrison, Toni",The Bluest Eye,Florida,Santa Rosa County District Schools,Banned pending investigation,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Johnson, George M.",All Boys Aren't Blue,Florida,Osceola County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Florida,Santa Rosa County District Schools,Banned pending investigation,2021,Race / Racism,high,Native identity and racism are central.
"Elya, Susan Middleton",Home at Last,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,Same-sex adoptive family representation is central.
"Hosseini, Khaled",The Kite Runner,Mississippi,Madison County Schools,Banned in libraries,2021,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Leff, Carrie",Celebrate Your Body 2: The Ultimate Puberty Book for Preteen and Teen Girls,Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Watson, Renée",Piecing Me Together,Mississippi,Madison County Schools,Banned in libraries,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Anstey, Cindy",Duels and Deception,Texas,Katy Independent School District,Banned in libraries,2021,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Suzuma, Tabitha",Forbidden,Texas,Cypress-Fairbanks Independent School District,Banned in libraries and classrooms,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Green, John",Looking for Alaska,Florida,Osceola County School District,Banned pending investigation,2021,Sexuality / Sex Education,medium,Often challenged for teen sexuality and language.
"Pitman, Gayle E.",This Day in June,Florida,Walton County School District,Banned pending investigation,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Blume, Judy",Forever...,Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Meyers, Susan",Everywhere Babies,Florida,Walton County School District,Banned pending investigation,2021,Other / Unclear,low,Inclusive baby book; specific challenged theme unclear.
"Thomas, Angie",The Hate U Give,Florida,Santa Rosa County District Schools,Banned pending investigation,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Morrison, Toni",The Bluest Eye,Mississippi,Madison County Schools,Banned in libraries,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Garrett, Camryn",Full Disclosure,Texas,Killeen Independent School District,Banned in libraries and classrooms,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Mikaelsen, Ben",Touching Spirit Bear (Spirit Bear Series),Mississippi,Madison County Schools,Banned in libraries,2021,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Corinna, Heather","Wait, What?: A Comic Book Guide to Relationships, Bodies, and Growing Up",Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Florida,Walton County School District,Banned pending investigation,2021,Race / Racism,high,Native identity and racism are central.
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Mississippi,Madison County Schools,Banned in libraries,2021,Race / Racism,high,Native identity and racism are central.
"Morrison, Toni",Beloved,Mississippi,Madison County Schools,Banned in libraries,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,Idaho,Bonneville Joint School District No 93,Banned in libraries,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Maroh, Julie",Blue Is the Warmest Color,Texas,Frisco Independent School District,Banned in libraries and classrooms,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Mafi, Tahereh",Unravel Me (Shatter Me Series),Florida,Walton County School District,Banned pending investigation,2021,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Braden, Ann",The Benefits of Being an Octopus,Mississippi,Madison County Schools,Banned in libraries,2021,Mental Health,high,Mental health struggles are central.
"Montoya, Paco",No One Knows About You,Texas,Katy Independent School District,Banned in libraries,2021,Mental Health,high,Mental health struggles are central.
"Picoult, Jodi",Nineteen Minutes,Florida,Santa Rosa County District Schools,Banned pending investigation,2021,Violence / Trauma,high,School shooting violence is central.
"Andrews, Jesse",Me and Earl and the Dying Girl,Florida,Osceola County School District,Banned pending investigation,2021,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Morrison, Toni",Beloved,Florida,Santa Rosa County District Schools,Banned pending investigation,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"García, Cristina",Dreaming in Cuban,Florida,Walton County School District,Banned pending investigation,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Prager, Sarah","Queer, There and Everywhere: 23 People Who Changed the World",Mississippi,Madison County Schools,Banned in libraries,2021,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Morrison, Toni",Beloved,Florida,Walton County School District,Banned pending investigation,2021,Race / Racism,high,"Race, racism, or cultural identity is central."
"Hopkins, Ellen",Tricks (Tricks Series),Florida,Walton County School District,Banned pending investigation,2021,Sexuality / Sex Education,high,Sexual content or sex education is central.
